,V,fitness,V_O,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,AD5,AD5_O,s,taquiónico
0,0.22104623315411492,0.14321778780205116,0.001465,4.719878083209657,0.2508811780903161,41.838176769384404,0.5231532935575133,-23.616756680552697,0.8362034962154834,-8.174435604196674,0.7126364788330712,2.4469845184420502,0
1,0.6008029523290767,0.5730605269595129,0.001465,17.366958431703367,0.2508811780903161,25.62242543915862,0.5231532935575133,-30.609154782561546,0.8362034962154834,16.920926334921734,0.7126364788330712,2.4469845184420502,1
2,0.11778219059944184,0.74143798133648,0.001465,15.930146864314947,0.2508811780903161,33.84850429910537,0.5231532935575133,11.99115401638879,0.8362034962154834,-10.805508256139198,0.7126364788330712,2.4469845184420502,1
3,0.421247104385262,0.06471137016870536,0.001465,1.6212039231143995,0.2508811780903161,-71.96551446598015,0.5231532935575133,42.613231789932854,0.8362034962154834,74.08975663882042,0.7126364788330712,2.4469845184420502,1
4,0.25735328677424274,0.18627948651180576,0.001465,21.31464431904603,0.2508811780903161,99.99186973040563,0.5231532935575133,7.506528348820675,0.8362034962154834,8.539501745053578,0.7126364788330712,2.4469845184420502,0
5,0.014087418854287048,0.33886408980769966,0.001465,4.4577814421691935,0.2508811780903161,86.22355437323287,0.5231532935575133,54.376789218082735,0.8362034962154834,-7.898845501729694,0.7126364788330712,2.4469845184420502,0
6,0.6272398316553133,0.1704029761445251,0.001465,8.670353584872187,0.2508811780903161,-58.65738337429121,0.5231532935575133,3.364088884832544,0.8362034962154834,63.48577607861673,0.7126364788330712,2.4469845184420502,1
7,0.22832599831359812,0.22514950830017655,0.001465,14.286300105009033,0.2508811780903161,13.161785213251363,0.5231532935575133,-8.504699005315238,0.8362034962154834,34.96800558331189,0.7126364788330712,2.4469845184420502,1
8,0.6221992117024778,0.4444519051663578,0.001465,4.655677663760208,0.2508811780903161,47.77020369184247,0.5231532935575133,-29.35253985904432,0.8362034962154834,19.09755871303088,0.7126364788330712,2.4469845184420502,0
9,0.4170289455335743,0.3161220117991939,0.001465,2.8301752076737117,0.2508811780903161,46.00504832754035,0.5231532935575133,-61.40214545843534,0.8362034962154834,10.506671323918738,0.7126364788330712,2.4469845184420502,1
10,0.08855734968162887,0.11891498014457376,0.001465,4.976960373698682,0.2508811780903161,-27.524261412590395,0.5231532935575133,55.84778519578967,0.8362034962154834,34.92071368906379,0.7126364788330712,2.4469845184420502,1
11,-0.13522261813259245,0.5464087666416712,0.001465,-1.5761092664345782,0.2508811780903161,-14.07495024352545,0.5231532935575133,92.6767457768872,0.8362034962154834,14.544986622715669,0.7126364788330712,2.4469845184420502,1
12,0.22848619415587487,0.6373266690321722,0.001465,-0.7096761713749817,0.2508811780903161,-9.102469891604088,0.5231532935575133,-37.8467712794658,0.8362034962154834,24.03942031288453,0.7126364788330712,2.4469845184420502,1
13,0.27042860686685577,0.4576491526489799,0.001465,5.394956443340481,0.2508811780903161,23.249088011151507,0.5231532935575133,73.22485669057254,0.8362034962154834,10.219538947967965,0.7126364788330712,2.4469845184420502,0
14,0.5179837867983293,0.2243993008938089,0.001465,14.338204004906142,0.2508811780903161,33.24170140198616,0.5231532935575133,-35.45357094861884,0.8362034962154834,26.969042653551494,0.7126364788330712,2.4469845184420502,1
